信用卡编号,阈值编号,通过率,坏账率,最终收入
20,4,0.77,0.053,17525.2
20,5,0.85,0.054,18428.0
20,6,0.87,0.071,2888.4000000000033
20,7,0.89,0.073,1032.4000000000074
20,8,0.9,0.075,-900.0000000000008
20,9,0.91,0.078,-3858.400000000007
20,10,0.92,0.084,-9862.400000000007
21,1,0.77,0.006,56610.4
21,2,0.79,0.007,57227.600000000006
21,3,0.8,0.018,48448.0
21,4,0.81,0.022,45554.4
21,5,0.89,0.028,44286.4
21,6,0.91,0.031,42333.2
21,7,0.92,0.034,39817.6
21,8,0.93,0.035,39245.99999999999
21,9,0.94,0.036,38652.8
21,10,0.97,0.053,22077.2
22,1,0.7,0.016,43904.0
22,2,0.71,0.018,42997.6
22,3,0.76,0.044,24684.800000000003
22,4,0.79,0.049,21393.199999999993
22,5,0.81,0.05,21059.999999999996
22,6,0.82,0.066,7150.399999999993
22,7,0.87,0.067,6646.799999999995
22,8,0.89,0.068,5838.399999999997
22,9,0.9,0.077,-2843.9999999999964
22,10,0.95,0.081,-7106.000000000001
23,1,0.81,0.016,50803.2
23,2,0.83,0.024,44886.4
23,3,0.84,0.027,42705.6
23,4,0.86,0.036,35363.200000000004
23,5,0.87,0.04,32016.0
23,6,0.88,0.051,21929.600000000006
23,7,0.89,0.059,14489.200000000003
23,8,0.9,0.063,10763.999999999998
23,9,0.95,0.066,8283.999999999993
23,10,0.99,0.073,1148.4000000000083
24,1,0.75,0.009,52710.00000000001
24,2,0.76,0.015,48488.0
24,3,0.77,0.016,48294.4
24,4,0.8,0.018,48448.0
24,5,0.85,0.024,45968.0
24,6,0.86,0.025,45580.0
24,7,0.89,0.026,46208.8
24,8,0.91,0.033,40367.6
24,9,0.94,0.039,35607.2
24,10,0.96,0.052,22886.4
25,1,0.7,0.015,44660.0
25,2,0.71,0.024,38396.8
25,3,0.77,0.025,40810.0
25,4,0.81,0.027,41180.399999999994
25,5,0.82,0.035,34603.99999999999
25,6,0.84,0.039,31819.199999999997
25,7,0.85,0.049,23017.999999999993
25,8,0.86,0.06,13072.000000000004
25,9,0.87,0.085,-10266.000000000004
25,10,0.88,0.088,-13235.199999999999
26,1,0.73,0.003,56034.799999999996
26,2,0.76,0.009,53412.80000000001
26,3,0.77,0.024,41641.600000000006
26,4,0.8,0.025,42400.0
26,5,0.84,0.033,37262.399999999994
26,6,0.85,0.037,34034.0
26,7,0.86,0.042,29790.399999999998
26,8,0.91,0.046,27591.2
26,9,0.93,0.069,5096.399999999986
26,10,0.97,0.074,77.59999999999684
27,1,0.72,0.015,45936.0
27,2,0.79,0.024,42723.200000000004
27,3,0.8,0.029,38944.0
27,4,0.81,0.031,37681.2
27,5,0.84,0.039,31819.199999999997
27,6,0.86,0.054,18644.8
27,7,0.87,0.059,14163.600000000002
27,8,0.91,0.06,13832.000000000005
27,9,0.92,0.062,11996.799999999996
27,10,0.94,0.075,-940.0000000000008
28,1,0.8,0.013,52768.00000000001
28,2,0.82,0.028,40803.2
28,3,0.83,0.03,39508.0
28,4,0.86,0.034,37220.799999999996
28,5,0.89,0.043,29868.399999999998
28,6,0.94,0.056,18348.799999999996
28,7,0.95,0.058,16492.0
28,8,0.96,0.066,8371.199999999992
28,9,0.98,0.069,5370.399999999985
28,10,0.99,0.071,3286.8000000000034
29,1,0.75,0.014,48659.99999999999
29,2,0.79,0.015,50402.0
29,3,0.81,0.03,38556.0
29,4,0.85,0.035,35869.99999999999
29,5,0.86,0.036,35363.200000000004
29,6,0.87,0.04,32016.0
29,7,0.9,0.043,30204.0
29,8,0.92,0.053,20939.2
29,9,0.96,0.056,18739.199999999997
29,10,0.97,0.058,16839.2
30,1,0.71,0.013,46831.600000000006
30,2,0.74,0.017,45613.6
30,3,0.77,0.021,44136.399999999994
30,4,0.79,0.025,41870.0
30,5,0.8,0.034,34624.0
30,6,0.82,0.04,30176.0
30,7,0.84,0.042,29097.6
30,8,0.85,0.073,986.000000000007
30,9,0.93,0.086,-11978.400000000003
30,10,0.94,0.088,-14137.599999999999
31,1,0.75,0.022,42180.0
31,2,0.81,0.034,35056.799999999996
31,3,0.85,0.035,35869.99999999999
31,4,0.87,0.036,35774.4
31,5,0.9,0.037,36036.0
31,6,0.92,0.039,34849.6
31,7,0.93,0.046,28197.6
31,8,0.94,0.055,19364.0
31,9,0.95,0.058,16492.0
31,10,0.96,0.06,14592.000000000005
32,1,0.7,0.012,46928.0
32,2,0.74,0.022,41617.6
32,3,0.77,0.025,40810.0
32,4,0.79,0.032,35897.6
32,5,0.81,0.043,27183.6
32,6,0.88,0.048,24780.8
32,7,0.9,0.054,19511.999999999996
32,8,0.92,0.064,10009.6
32,9,0.94,0.07,4135.999999999988
32,10,0.95,0.081,-7106.000000000001
33,1,0.8,0.009,56224.00000000001
33,2,0.81,0.018,49053.600000000006
33,3,0.89,0.019,52937.200000000004
33,4,0.9,0.02,52560.0
33,5,0.91,0.022,51178.4
33,6,0.93,0.024,50294.4
33,7,0.94,0.052,22409.6
33,8,0.96,0.054,20812.8
33,9,0.98,0.057,18071.199999999997
33,10,0.99,0.074,79.19999999999678
34,1,0.76,0.013,50129.600000000006
34,2,0.77,0.017,47462.8
34,3,0.79,0.018,47842.4
34,4,0.8,0.025,42400.0
34,5,0.81,0.028,40305.6
34,6,0.84,0.04,30912.0
34,7,0.91,0.044,29556.800000000003
34,8,0.92,0.046,27894.4
34,9,0.93,0.053,21166.800000000003
34,10,0.96,0.057,17702.399999999998
35,1,0.7,0.009,49196.00000000001
35,2,0.75,0.01,51900.0
35,3,0.79,0.016,49548.799999999996
35,4,0.8,0.019,47584.00000000001
35,5,0.82,0.025,43460.0
35,6,0.83,0.053,18890.800000000003
35,7,0.88,0.066,7673.599999999993
35,8,0.91,0.073,1055.6000000000074
35,9,0.92,0.079,-4894.400000000005
35,10,0.93,0.082,-7960.800000000011
36,1,0.7,0.005,52220.0
36,2,0.71,0.017,43764.4
36,3,0.73,0.022,41055.2
36,4,0.81,0.027,41180.399999999994
36,5,0.84,0.045,26375.999999999996
36,6,0.88,0.051,21929.600000000006
36,7,0.91,0.059,14814.800000000003
36,8,0.92,0.067,7028.799999999995
36,9,0.95,0.068,6231.999999999996
36,10,0.97,0.072,2172.8000000000056
37,1,0.74,0.015,47212.0
37,2,0.75,0.018,45420.0
37,3,0.77,0.019,45799.600000000006
37,4,0.83,0.034,35922.4
37,5,0.84,0.05,21839.999999999996
37,6,0.85,0.057,15673.999999999998
37,7,0.9,0.063,10763.999999999998
37,8,0.93,0.073,1078.8000000000077
37,9,0.94,0.082,-8046.4000000000115
37,10,0.95,0.085,-11210.000000000005
38,1,0.8,0.012,53632.0
38,2,0.82,0.019,48773.600000000006
38,3,0.84,0.022,47241.6
38,4,0.87,0.024,47049.600000000006
38,5,0.89,0.032,40441.6
38,6,0.9,0.034,38952.0
38,7,0.91,0.051,22677.200000000004
38,8,0.94,0.054,20379.199999999997
38,9,0.96,0.076,-1996.7999999999986
38,10,0.99,0.077,-3128.399999999996
39,1,0.75,0.008,53520.00000000001
39,2,0.81,0.011,55177.2
39,3,0.84,0.031,39076.799999999996
39,4,0.86,0.041,30719.199999999997
39,5,0.9,0.042,31175.999999999996
39,6,0.91,0.051,22677.200000000004
39,7,0.92,0.052,21932.8
39,8,0.95,0.055,19570.0
39,9,0.96,0.057,17702.399999999998
39,10,0.97,0.058,16839.2
40,1,0.71,0.018,42997.6
40,2,0.72,0.024,38937.600000000006
40,3,0.78,0.031,36285.6
40,4,0.8,0.037,32032.0
40,5,0.81,0.038,31557.600000000002
40,6,0.83,0.06,12616.000000000004
40,7,0.86,0.062,11214.399999999996
40,8,0.9,0.069,4931.999999999986
40,9,0.94,0.077,-2970.3999999999965
40,10,0.95,0.088,-14287.999999999998
41,1,0.81,0.01,56052.0
41,2,0.83,0.017,51161.2
41,3,0.86,0.029,41864.8
41,4,0.87,0.039,32955.6
41,5,0.9,0.041,32147.999999999996
41,6,0.91,0.042,31522.399999999998
41,7,0.92,0.051,22926.400000000005
41,8,0.93,0.054,20162.399999999998
41,9,0.94,0.059,15303.200000000003
41,10,0.95,0.06,14440.000000000005
42,1,0.7,0.013,46172.0
42,2,0.71,0.02,41464.0
42,3,0.74,0.021,42416.799999999996
42,4,0.75,0.053,17070.000000000004
42,5,0.82,0.065,8035.999999999991
42,6,0.83,0.073,962.8000000000069
42,7,0.85,0.084,-9112.000000000005
42,8,0.93,0.086,-11978.400000000003
42,9,0.94,0.087,-13122.4
42,10,0.95,0.088,-14287.999999999998
43,1,0.8,0.015,51040.0
43,2,0.81,0.019,48178.8
43,3,0.82,0.045,25747.999999999996
43,4,0.88,0.052,20979.2
43,5,0.89,0.054,19295.199999999997
43,6,0.9,0.057,16596.0
43,7,0.91,0.061,12849.199999999993
43,8,0.92,0.064,10009.6
43,9,0.94,0.067,7181.599999999994
43,10,0.97,0.069,5315.599999999985
44,1,0.77,0.006,56610.4
44,2,0.79,0.009,55521.200000000004
44,3,0.82,0.011,55858.4
44,4,0.83,0.02,48472.0
44,5,0.85,0.026,44132.0
44,6,0.87,0.032,39532.8
44,7,0.88,0.034,38086.4
44,8,0.91,0.042,31522.399999999998
44,9,0.92,0.048,25907.199999999997
44,10,0.97,0.055,19982.0
45,1,0.7,0.01,48440.0
45,2,0.71,0.014,46064.799999999996
45,3,0.72,0.021,41270.399999999994
45,4,0.74,0.031,34424.799999999996
45,5,0.8,0.04,29440.0
45,6,0.87,0.041,31076.399999999994
45,7,0.88,0.042,30483.199999999997
45,8,0.91,0.067,6952.399999999994
45,9,0.93,0.076,-1934.3999999999987
45,10,0.95,0.08,-6080.000000000003
46,1,0.71,0.011,48365.2
46,2,0.72,0.023,39715.2
46,3,0.73,0.027,37113.2
46,4,0.76,0.032,34534.4
46,5,0.79,0.044,25659.2
46,6,0.81,0.053,18435.600000000002
46,7,0.84,0.06,12768.000000000004
46,8,0.92,0.063,11003.199999999999
46,9,0.93,0.065,9113.99999999999
46,10,0.94,0.07,4135.999999999988
47,1,0.72,0.017,44380.8
47,2,0.73,0.023,40266.8
47,3,0.74,0.032,33625.6
47,4,0.76,0.036,31251.200000000004
47,5,0.78,0.041,27861.599999999995
47,6,0.8,0.05,20799.999999999996
47,7,0.81,0.06,12312.000000000004
47,8,0.82,0.068,5379.199999999997
47,9,0.92,0.076,-1913.5999999999985
47,10,0.95,0.085,-11210.000000000005
48,1,0.79,0.028,39310.4
48,2,0.81,0.031,37681.2
48,3,0.83,0.032,37715.200000000004
48,4,0.87,0.036,35774.4
48,5,0.88,0.04,32384.0
48,6,0.9,0.042,31175.999999999996
48,7,0.91,0.045,28573.999999999996
48,8,0.92,0.049,24913.599999999995
48,9,0.97,0.063,11601.199999999999
48,10,0.98,0.065,9603.999999999989
49,1,0.82,0.005,61172.0
49,2,0.83,0.006,61021.6
49,3,0.85,0.01,58820.0
49,4,0.86,0.019,51152.8
49,5,0.89,0.021,51014.799999999996
49,6,0.9,0.041,32147.999999999996
49,7,0.92,0.042,31868.799999999996
49,8,0.93,0.044,30206.4
49,9,0.94,0.049,25455.199999999993
49,10,0.95,0.052,22648.0
50,1,0.7,0.016,43904.0
50,2,0.71,0.02,41464.0
50,3,0.73,0.028,36324.799999999996
50,4,0.77,0.042,26672.8
50,5,0.81,0.044,26308.800000000003
50,6,0.83,0.051,20683.600000000002
50,7,0.86,0.052,20502.4
50,8,0.89,0.056,17372.799999999996
50,9,0.92,0.08,-5888.000000000003
50,10,0.95,0.083,-9158.00000000001
51,1,0.77,0.018,46631.200000000004
51,2,0.78,0.019,46394.4
51,3,0.81,0.026,42055.2
51,4,0.82,0.027,41688.799999999996
51,5,0.84,0.028,41798.4
51,6,0.87,0.035,36713.99999999999
51,7,0.9,0.036,37008.0
51,8,0.93,0.039,35228.399999999994
51,9,0.94,0.047,27485.599999999995
51,10,0.96,0.051,23923.200000000004
52,1,0.7,0.02,40880.0
52,2,0.77,0.026,39978.4
52,3,0.78,0.027,39655.2
52,4,0.8,0.031,37216.0
52,5,0.81,0.048,22809.6
52,6,0.83,0.053,18890.800000000003
52,7,0.87,0.058,15103.2
52,8,0.89,0.061,12566.799999999994
52,9,0.92,0.065,9015.99999999999
52,10,0.95,0.076,-1975.9999999999986
53,1,0.8,0.011,54496.0
53,2,0.82,0.024,44345.600000000006
53,3,0.85,0.031,39542.0
53,4,0.88,0.037,35235.2
53,5,0.92,0.045,28887.999999999996
53,6,0.93,0.046,28197.6
53,7,0.94,0.064,10227.2
53,8,0.95,0.07,4179.999999999988
53,9,0.96,0.071,3187.2000000000035
53,10,0.97,0.072,2172.8000000000056
54,1,0.75,0.003,57569.99999999999
54,2,0.78,0.004,59030.4
54,3,0.79,0.01,54668.0
54,4,0.81,0.011,55177.2
54,5,0.85,0.013,56066.00000000001
54,6,0.88,0.035,37135.99999999999
54,7,0.91,0.046,27591.2
54,8,0.92,0.051,22926.400000000005
54,9,0.94,0.053,21394.4
54,10,0.97,0.054,21029.6
55,1,0.75,0.008,53520.00000000001
55,2,0.78,0.016,48921.6
55,3,0.8,0.027,40672.0
55,4,0.81,0.037,32432.399999999998
55,5,0.83,0.039,31440.399999999998
55,6,0.84,0.049,22747.199999999993
55,7,0.86,0.05,22359.999999999996
55,8,0.88,0.052,20979.2
55,9,0.91,0.058,15797.6
55,10,0.92,0.088,-13836.799999999997
56,1,0.73,0.007,52881.200000000004
56,2,0.76,0.008,54233.600000000006
56,3,0.79,0.009,55521.200000000004
56,4,0.8,0.012,53632.0
56,5,0.84,0.014,54499.2
56,6,0.85,0.025,45050.0
56,7,0.91,0.029,44298.8
56,8,0.93,0.049,25184.399999999994
56,9,0.96,0.055,19776.0
56,10,0.97,0.064,10553.6
57,1,0.72,0.015,45936.0
57,2,0.73,0.017,44997.2
57,3,0.75,0.028,37320.0
57,4,0.77,0.03,36652.0
57,5,0.82,0.044,26633.600000000002
57,6,0.86,0.046,26075.2
57,7,0.87,0.053,19801.2
57,8,0.9,0.068,5903.999999999996
57,9,0.91,0.081,-6806.8
57,10,0.95,0.085,-11210.000000000005
58,1,0.81,0.019,48178.8
58,2,0.84,0.027,42705.6
58,3,0.86,0.028,42793.6
58,4,0.88,0.029,42838.4
58,5,0.89,0.041,31790.799999999996
58,6,0.9,0.053,20484.000000000004
58,7,0.92,0.054,19945.6
58,8,0.93,0.06,14136.000000000005
58,9,0.96,0.073,1113.6000000000079
58,10,0.99,0.075,-990.0000000000009
59,1,0.79,0.01,54668.0
59,2,0.81,0.012,54302.4
59,3,0.82,0.015,52316.0
59,4,0.85,0.016,53312.0
59,5,0.87,0.018,52687.200000000004
59,6,0.89,0.023,49092.4
59,7,0.92,0.029,44785.6
59,8,0.93,0.032,42259.200000000004
59,9,0.95,0.034,41116.0
59,10,0.96,0.058,16665.600000000002
60,1,0.7,0.021,40124.0
60,2,0.73,0.03,34748.0
60,3,0.77,0.031,35820.4
60,4,0.78,0.035,32915.99999999999
60,5,0.83,0.051,20683.600000000002
60,6,0.85,0.061,12001.999999999995
60,7,0.88,0.066,7673.599999999993
60,8,0.89,0.075,-890.0000000000008
60,9,0.9,0.077,-2843.9999999999964
60,10,0.95,0.081,-7106.000000000001
61,1,0.76,0.007,55054.4
61,2,0.8,0.012,53632.0
61,3,0.81,0.015,51678.0
61,4,0.82,0.018,49659.200000000004
61,5,0.87,0.02,50808.0
61,6,0.88,0.021,50441.6
61,7,0.89,0.032,40441.6
61,8,0.9,0.045,28259.999999999996
61,9,0.92,0.048,25907.199999999997
61,10,0.96,0.056,18739.199999999997
62,1,0.7,0.008,49952.00000000001
62,2,0.73,0.009,51304.40000000001
62,3,0.75,0.024,40560.0
62,4,0.76,0.026,39459.2
62,5,0.81,0.028,40305.6
62,6,0.82,0.039,31061.6
62,7,0.83,0.052,19787.2
62,8,0.86,0.061,12143.199999999995
62,9,0.92,0.07,4047.999999999988
62,10,0.93,0.071,3087.600000000003
63,1,0.84,0.017,51777.6
63,2,0.85,0.026,44132.0
63,3,0.86,0.03,40936.0
63,4,0.87,0.037,34834.8
63,5,0.88,0.038,34284.8
63,6,0.93,0.039,35228.399999999994
63,7,0.94,0.043,31546.399999999998
63,8,0.95,0.055,19570.0
63,9,0.97,0.063,11601.199999999999
63,10,0.99,0.065,9701.999999999989
64,1,0.75,0.005,55950.0
64,2,0.76,0.012,50950.4
64,3,0.77,0.018,46631.200000000004
64,4,0.83,0.019,49368.4
64,5,0.85,0.033,37706.0
64,6,0.86,0.034,37220.799999999996
64,7,0.87,0.039,32955.6
64,8,0.9,0.045,28259.999999999996
64,9,0.92,0.048,25907.199999999997
64,10,0.93,0.053,21166.800000000003
65,1,0.7,0.012,46928.0
65,2,0.73,0.013,48150.8
65,3,0.74,0.03,35224.0
65,4,0.77,0.041,27504.399999999998
65,5,0.81,0.042,28058.399999999998
65,6,0.84,0.044,27283.2
65,7,0.89,0.059,14489.200000000003
65,8,0.91,0.072,2038.4000000000053
65,9,0.93,0.073,1078.8000000000077
65,10,0.94,0.081,-7031.200000000001
66,1,0.7,0.007,50708.0
66,2,0.72,0.018,43603.200000000004
66,3,0.78,0.038,30388.800000000003
66,4,0.79,0.041,28218.799999999996
66,5,0.81,0.042,28058.399999999998
66,6,0.87,0.049,23559.599999999995
66,7,0.88,0.058,15276.800000000001
66,8,0.89,0.065,8721.99999999999
66,9,0.93,0.067,7105.199999999994
66,10,0.96,0.069,5260.799999999986
67,1,0.75,0.014,48659.99999999999
67,2,0.76,0.033,33713.6
67,3,0.77,0.035,32493.999999999996
67,4,0.78,0.046,23649.6
67,5,0.8,0.047,23391.999999999996
67,6,0.81,0.058,14061.6
67,7,0.83,0.062,10823.199999999997
67,8,0.87,0.073,1009.2000000000072
67,9,0.91,0.076,-1892.7999999999986
67,10,0.93,0.085,-10974.000000000005
68,1,0.8,0.009,56224.00000000001
68,2,0.82,0.01,56744.0
68,3,0.83,0.011,56539.6
68,4,0.85,0.016,53312.0
68,5,0.87,0.018,52687.200000000004
68,6,0.88,0.019,52342.4
68,7,0.89,0.021,51014.799999999996
68,8,0.93,0.041,33219.6
68,9,0.96,0.051,23923.200000000004
68,10,0.97,0.055,19982.0
69,1,0.77,0.005,57442.0
69,2,0.79,0.011,53814.8
69,3,0.8,0.013,52768.00000000001
69,4,0.81,0.025,42930.0
69,5,0.82,0.028,40803.2
69,6,0.83,0.033,36818.799999999996
69,7,0.9,0.035,37979.99999999999
69,8,0.91,0.04,33488.0
69,9,0.93,0.052,22171.2
69,10,0.95,0.054,20595.999999999996
70,1,0.7,0.009,49196.00000000001
70,2,0.71,0.014,46064.799999999996
70,3,0.72,0.015,45936.0
70,4,0.74,0.038,28830.4
70,5,0.78,0.04,28704.0
70,6,0.85,0.044,27608.0
70,7,0.86,0.045,27003.999999999996
70,8,0.89,0.055,18334.0
70,9,0.9,0.065,8819.99999999999
70,10,0.93,0.083,-8965.20000000001
71,1,0.75,0.012,50280.0
71,2,0.77,0.018,46631.200000000004
71,3,0.78,0.02,45552.0
71,4,0.79,0.024,42723.200000000004
71,5,0.82,0.033,36375.2
71,6,0.83,0.039,31440.399999999998
71,7,0.84,0.04,30912.0
71,8,0.9,0.044,29232.0
71,9,0.95,0.047,27777.999999999996
71,10,0.97,0.054,21029.6
72,1,0.72,0.019,42825.600000000006
72,2,0.73,0.027,37113.2
72,3,0.79,0.036,32484.800000000003
72,4,0.8,0.047,23391.999999999996
72,5,0.84,0.059,13675.200000000003
72,6,0.87,0.063,10405.199999999999
72,7,0.9,0.069,4931.999999999986
72,8,0.91,0.077,-2875.5999999999963
72,9,0.92,0.08,-5888.000000000003
72,10,0.94,0.086,-12107.200000000003
73,1,0.82,0.008,58515.200000000004
73,2,0.84,0.01,58128.0
73,3,0.85,0.017,52394.0
73,4,0.89,0.027,45247.6
73,5,0.9,0.044,29232.0
73,6,0.91,0.045,28573.999999999996
73,7,0.92,0.047,26900.799999999996
73,8,0.94,0.051,23424.800000000003
73,9,0.97,0.054,21029.6
73,10,0.99,0.068,6494.399999999996
74,1,0.75,0.003,57569.99999999999
74,2,0.76,0.015,48488.0
74,3,0.81,0.017,49928.4
74,4,0.84,0.02,49056.0
74,5,0.86,0.03,40936.0
74,6,0.87,0.033,38593.2
74,7,0.89,0.035,37557.99999999999
74,8,0.91,0.046,27591.2
74,9,0.92,0.049,24913.599999999995
74,10,0.93,0.059,15140.400000000003
75,1,0.71,0.011,48365.2
75,2,0.73,0.014,47362.399999999994
75,3,0.74,0.027,37621.6
75,4,0.77,0.031,35820.4
75,5,0.82,0.036,33718.4
